Counts,Counts Uncertainty,CPS,CPS Uncertainty,Weight,Ra-226
5151.325250209916,461.7697282756545,0.25729074063096546,0.022985877086945564,513.8554189279237,32.56539053331414
6943.026842354933,565.2129254023009,0.3471646425986914,0.02821353450435168,541.6877049485382,42.27214830436573
5123.608432706239,418.55401141387574,0.2559633693957941,0.020701921820535506,518.5736796770952,30.806975933138467
1265.2845335835386,271.61580835421347,0.06286092395953732,0.013901951725490226,554.7945757027886,6.651593957484348
3319.05718849592,338.81906069928925,0.16609729334761736,0.01704556330587051,530.8395942373304,19.44309137630399
2056.563872298436,277.59820350478674,0.10258808188809924,0.013719221804125804,521.7525554524243,13.201780951001867
4596.62174377169,396.4943253370971,0.22990218112749886,0.019840373567713662,544.1870516498516,25.859723232667207
3208.3885470514283,359.38791231818124,0.16005703097952115,0.017903507513942388,508.1867742946998,21.05850292940532
3226.7946674573514,350.7975986250042,0.16110193093144054,0.01742968828133014,510.40814133827445,20.7574041966314
6174.294722454052,511.81829543927927,0.3090983434841319,0.02545512464754293,521.2013382210821,38.50790684473367
3370.6715160028866,339.6016273221631,0.16838614886911568,0.016876033690990867,544.7510475571303,18.554142447196217
3358.49462890808,348.4322636599824,0.16763401785269813,0.01688754052385859,538.0853502139216,19.625071835266596
1936.2545210232734,293.77980921984556,0.09663688832720141,0.014772083940681543,526.2878205158736,12.770950603421834
836.6339486783154,229.31716111065563,0.042019057677188776,0.011270672083515029,518.9792550292493,6.826321138351851
7091.1231536204305,548.1738163780342,0.35372910903466326,0.02769716580985912,531.6167749643191,42.443610838426196
6230.02422361516,494.4747788355071,0.31131321488013425,0.025220912603102587,551.5076869680447,36.361143134061116
6042.946891316093,492.79854286485363,0.30177540025856375,0.024735524026359732,550.5626528481918,35.71386845742229
3130.762062374424,364.40477785648915,0.15606835138883285,0.017834579022554472,578.9819027752791,16.79955121520299
518.5390325112485,214.07295828331812,0.025979999663526793,0.010533942105024537,502.28461723166913,4.665037373897995
4891.89096668654,396.0188554585257,0.24426098659683623,0.019626711606717785,518.155252563761,28.490864466265585
7234.259015314121,528.6131572033516,0.3615619958760684,0.02650150574608189,545.2045316700261,41.968725008797435
3119.832887485506,377.58985081799074,0.15604613523348665,0.019282722335813664,539.6543549828092,20.114374045343176
4265.687901724687,408.29949234158033,0.21326352888723954,0.020576364029471883,511.1505622635555,27.478855528635542
